Компонент,Наименование партии,Наименование показателя,Единица измерения_по_партиям,Значение показателя
Детергент_12,typical,"Размер мицелл, нм",,2026-10-08 00:00:00
Детергент_9,typical,"Размер мицелл, нм",,2026-08-06 00:00:00
Детергент_3,typical,"Размер мицелл, нм",,2026-10-08 00:00:00
Детергент_15,typical,"Размер мицелл, нм",,2026-10-08 00:00:00
Детергент_10,typical,"Размер мицелл, нм",,2026-08-06 00:00:00
Детергент_7,typical,"Размер мицелл, нм",,100
Детергент_5,typical,"Размер мицелл, нм",,100
Детергент_11,typical,"Размер мицелл, нм",,10-14
Детергент_8,typical,"Размер мицелл, нм",,10-14
Детергент_1,typical,Структура УВ-радикала,,C21H43
Детергент_4,typical,Структура УВ-радикала,,C17H35
Детергент_23,typical,Структура УВ-радикала,,C11H23
Детергент_16,typical,Структура УВ-радикала,,С11H23
Детергент_6,typical,Структура УВ-радикала,,С11H23
Детергент_2,typical,Структура УВ-радикала,,C17H35
Детергент_13,typical,Структура УВ-радикала,,C11H23
Детергент_14,typical,Структура УВ-радикала,,C12H25
Детергент_17,typical,Структура УВ-радикала,,C17H35
Детергент_19,typical,Структура УВ-радикала,,C17H35
Детергент_22,typical,Структура УВ-радикала,,С11H23
Детергент_20,typical,Структура УВ-радикала,,С11H23
Детергент_12,typical,Структура УВ-радикала,,C21H43
Детергент_9,typical,Структура УВ-радикала,,C17H35
Детергент_3,typical,Структура УВ-радикала,,С11H23
Детергент_15,typical,Структура УВ-радикала,,С12H25
Детергент_10,typical,Структура УВ-радикала,,C12H25
Детергент_7,typical,Структура УВ-радикала,,C11H23
Детергент_5,typical,Структура УВ-радикала,,C11H23
Детергент_18,typical,Структура УВ-радикала,,C12H25
Детергент_11,typical,Структура УВ-радикала,,C22H45
Детергент_8,typical,Структура УВ-радикала,,C21H43
Детергент_1,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Ca]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_4,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_23,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_16,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_6,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_2,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_13,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_14,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_17,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_19,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_22,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3C2)C=C1
Детергент_21,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_20,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_12,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1C)(O[Ca]OS(C2=C(C)C=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Детергент_9,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_3,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_15,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_10,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,O=C(O[Ca]OC(C1=C(O)C=C(CCCCCCCCCCCCCCCCC)C=C1)=O)C2=CC=C(CCCCCCCCCCCCCCCC)C=C2O
Детергент_5,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].CCCCCCCCCCCc1ccccc1S(=O)(=O)[O-].[Ca+2]
Детергент_18,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,CCCCCCCCCCCC1=CC2=C(O[Ca]OC3=CC=C(CCCCCCCCCCC)C=C3S2)C=C1
Детергент_11,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,Cc1cc(CCCCCCCCCCCCCCCCCCCCCC)ccc1S(=O)(=O)[O-].Cc1cc(CCCCCCCCCCCCCCCCCCCCCC)ccc1S(=O)(=O)[O-].[Ca+2]
Детергент_8,typical,SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,O=S(C1=CC=C(CCCCCCCCCCCCCCCCCCCC)C=C1)(O[Mg]OS(C2=CC=C(CCCCCCCCCCCCCCCCCCCCC)C=C2)(=O)=O)=O
Антиоксидант_4,typical,Номер CAS / SMILES,,68411-46-1
Антиоксидант_14,typical,Номер CAS / SMILES,,36878-20-3
Антиоксидант_6,typical,Номер CAS / SMILES,,125643-61-0
Антиоксидант_1,typical,Номер CAS / SMILES,,"125643-61-0,144429-84-5"
Антиоксидант_11,typical,Номер CAS / SMILES,,"125643-61-0,144429-84-5"
Антиоксидант_3,typical,Номер CAS / SMILES,,68411-46-1
Антиоксидант_9,typical,Номер CAS / SMILES,,68411-46-1
Антиоксидант_12,typical,Номер CAS / SMILES,,82209-88-9
Антиоксидант_2,typical,Номер CAS / SMILES,,36878-20-3
Антиоксидант_8,typical,Номер CAS / SMILES,,125643-61-0
Антиоксидант_7,typical,Номер CAS / SMILES,,68411-46-1
Антиоксидант_13,typical,Номер CAS / SMILES,,119-47-1
Антиоксидант_15,typical,Номер CAS / SMILES,,128-37-0
Антиоксидант_4,typical,Тип АО,,Дифениламин
Антиоксидант_14,typical,Тип АО,,Дифениламин
Антиоксидант_6,typical,Тип АО,,Фенол
Антиоксидант_1,typical,Тип АО,,Фенол
Антиоксидант_11,typical,Тип АО,,Фенол
Антиоксидант_3,typical,Тип АО,,Дифениламин
Антиоксидант_9,typical,Тип АО,,Дифениламин
Антиоксидант_12,typical,Тип АО,,Дифениламин
Антиоксидант_2,typical,Тип АО,,Дифениламин
Антиоксидант_8,typical,Тип АО,,Фенол
Антиоксидант_7,typical,Тип АО,,Дифениламин
Антиоксидант_13,typical,Тип АО,,Фенол
Антиоксидант_15,typical,Тип АО,,Фенол
Антиоксидант_4,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.43
Антиоксидант_14,typical,"Активный Азот / Кислород, % масс. (N или O)",,3.5
Антиоксидант_6,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.102564103
Антиоксидант_1,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.102564103
Антиоксидант_11,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.102564103
Антиоксидант_3,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.43
Антиоксидант_9,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.43
Антиоксидант_2,typical,"Активный Азот / Кислород, % масс. (N или O)",,3.5
Антиоксидант_8,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.102564103
Антиоксидант_7,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.43
Антиоксидант_13,typical,"Активный Азот / Кислород, % масс. (N или O)",,9.4
Антиоксидант_15,typical,"Активный Азот / Кислород, % масс. (N или O)",,7.26
Антиоксидант_4,typical,"Температура разложения, °C",,> 350 °C
Антиоксидант_14,typical,"Температура разложения, °C",,> 350 °C
Антиоксидант_3,typical,"Температура разложения, °C",,> 350 °C
Антиоксидант_9,typical,"Температура разложения, °C",,> 350 °C
Антиоксидант_2,typical,"Температура разложения, °C",,> 350 °C
Антиоксидант_7,typical,"Температура разложения, °C",,> 350 °C
Антиоксидант_4,typical,"Температура плавления, °C",,-31
Антиоксидант_6,typical,"Температура плавления, °C",,-31
Антиоксидант_1,typical,"Температура плавления, °C",,<5
Антиоксидант_11,typical,"Температура плавления, °C",,<5
Антиоксидант_3,typical,"Температура плавления, °C",,-31
Антиоксидант_9,typical,"Температура плавления, °C",,-31
Антиоксидант_7,typical,"Температура плавления, °C",,-31
Антиоксидант_13,typical,"Температура плавления, °C",,128
Антиоксидант_15,typical,"Температура плавления, °C",,70
Антиоксидант_4,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,361.94
Антиоксидант_14,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,372.38
Антиоксидант_6,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,362.92
Антиоксидант_1,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,355.19
Антиоксидант_11,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,355.19
Антиоксидант_3,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,361.94
Антиоксидант_9,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,361.94
Антиоксидант_12,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,359.82
Антиоксидант_2,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,372.38
Антиоксидант_8,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,355.19
Антиоксидант_7,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,361.94
Антиоксидант_13,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,368.87
Антиоксидант_15,typical,"Энергия диссоциации связи Х-Н, ккал/моль",,359.56
Антиоксидант_4,typical,"Потенциал ионизации,эВ",,7.18
Антиоксидант_14,typical,"Потенциал ионизации,эВ",,6.5
Антиоксидант_6,typical,"Потенциал ионизации,эВ",,7.2
Антиоксидант_1,typical,"Потенциал ионизации,эВ",,7.18
Антиоксидант_11,typical,"Потенциал ионизации,эВ",,7.18
Антиоксидант_3,typical,"Потенциал ионизации,эВ",,7.18
Антиоксидант_9,typical,"Потенциал ионизации,эВ",,7.18
Антиоксидант_12,typical,"Потенциал ионизации,эВ",,6.01
Антиоксидант_2,typical,"Потенциал ионизации,эВ",,6.5
Антиоксидант_8,typical,"Потенциал ионизации,эВ",,7.18
Антиоксидант_7,typical,"Потенциал ионизации,эВ",,7.18
Антиоксидант_13,typical,"Потенциал ионизации,эВ",,6.72
Антиоксидант_15,typical,"Потенциал ионизации,эВ",,7.06
Антиоксидант_4,typical,"Стерический фактор, Å3",,57.7
Антиоксидант_14,typical,"Стерический фактор, Å3",,72.1
Антиоксидант_6,typical,"Стерический фактор, Å3",,62.4
Антиоксидант_1,typical,"Стерический фактор, Å3",,62.4
Антиоксидант_11,typical,"Стерический фактор, Å3",,62.4
Антиоксидант_3,typical,"Стерический фактор, Å3",,57.7
Антиоксидант_9,typical,"Стерический фактор, Å3",,57.7
Антиоксидант_12,typical,"Стерический фактор, Å3",,57.8
Антиоксидант_2,typical,"Стерический фактор, Å3",,72.1
Антиоксидант_8,typical,"Стерический фактор, Å3",,62.4
Антиоксидант_7,typical,"Стерический фактор, Å3",,57.7
Антиоксидант_13,typical,"Стерический фактор, Å3",,64.5
Антиоксидант_15,typical,"Стерический фактор, Å3",,62.4
Антиоксидант_4,typical,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_14,typical,"Химический потенциал, Дж/моль",,-2.56
Антиоксидант_6,typical,"Химический потенциал, Дж/моль",,-2.84
Антиоксидант_1,typical,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_11,typical,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_3,typical,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_9,typical,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_12,typical,"Химический потенциал, Дж/моль",,-2.16
Антиоксидант_2,typical,"Химический потенциал, Дж/моль",,-2.56
Антиоксидант_8,typical,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_7,typical,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_13,typical,"Химический потенциал, Дж/моль",,-2.78
Антиоксидант_15,typical,"Химический потенциал, Дж/моль",,-2.95
Антиоксидант_4,typical,"Энергия ВЗМО, эВ",,-4.98
Антиоксидант_14,typical,"Энергия ВЗМО, эВ",,-5.15
Антиоксидант_6,typical,"Энергия ВЗМО, эВ",,-5.73
Антиоксидант_1,typical,"Энергия ВЗМО, эВ",,-5.58
Антиоксидант_11,typical,"Энергия ВЗМО, эВ",,-5.58
Антиоксидант_3,typical,"Энергия ВЗМО, эВ",,-4.98
Антиоксидант_9,typical,"Энергия ВЗМО, эВ",,-4.98
Антиоксидант_12,typical,"Энергия ВЗМО, эВ",,-4.64
Антиоксидант_2,typical,"Энергия ВЗМО, эВ",,-5.15
Антиоксидант_8,typical,"Энергия ВЗМО, эВ",,-5.58
Антиоксидант_7,typical,"Энергия ВЗМО, эВ",,-4.98
Антиоксидант_13,typical,"Энергия ВЗМО, эВ",,-5.44
Антиоксидант_15,typical,"Энергия ВЗМО, эВ",,-6.09
Антиоксидант_4,typical,"Энергия НСМО, эВ",,-0.22
Антиоксидант_14,typical,"Энергия НСМО, эВ",,-0.34
Антиоксидант_6,typical,"Энергия НСМО, эВ",,-0.05
Антиоксидант_1,typical,"Энергия НСМО, эВ",,0.035
Антиоксидант_11,typical,"Энергия НСМО, эВ",,0.035
Антиоксидант_3,typical,"Энергия НСМО, эВ",,-0.22
Антиоксидант_9,typical,"Энергия НСМО, эВ",,-0.22
Антиоксидант_12,typical,"Энергия НСМО, эВ",,-0.09
Антиоксидант_2,typical,"Энергия НСМО, эВ",,-0.34
Антиоксидант_8,typical,"Энергия НСМО, эВ",,0.035
Антиоксидант_7,typical,"Энергия НСМО, эВ",,-0.22
Антиоксидант_13,typical,"Энергия НСМО, эВ",,-0.33
Антиоксидант_15,typical,"Энергия НСМО, эВ",,-0.03
Антиоксидант_4,typical,"Дипольный момент, Д",,0.54
Антиоксидант_14,typical,"Дипольный момент, Д",,1.36
Антиоксидант_6,typical,"Дипольный момент, Д",,2.58
Антиоксидант_1,typical,"Дипольный момент, Д",,1.66
Антиоксидант_11,typical,"Дипольный момент, Д",,1.66
Антиоксидант_3,typical,"Дипольный момент, Д",,0.54
Антиоксидант_9,typical,"Дипольный момент, Д",,0.54
Антиоксидант_12,typical,"Дипольный момент, Д",,3.16
Антиоксидант_2,typical,"Дипольный момент, Д",,1.36
Антиоксидант_8,typical,"Дипольный момент, Д",,1.66
Антиоксидант_7,typical,"Дипольный момент, Д",,0.54
Антиоксидант_13,typical,"Дипольный момент, Д",,3.99
Антиоксидант_15,typical,"Дипольный момент, Д",,1.25
Противоизносная_присадка_8,typical,Номер CAS,,нет
Противоизносная_присадка_10,typical,Номер CAS,,нет
Противоизносная_присадка_2,typical,Номер CAS,,нет
Противоизносная_присадка_24,typical,Номер CAS,,нет
Противоизносная_присадка_21,typical,Номер CAS,,нет
Противоизносная_присадка_1,typical,Номер CAS,,нет
Противоизносная_присадка_20,typical,Номер CAS,,нет
Противоизносная_присадка_5,typical,Номер CAS,,нет
Противоизносная_присадка_11,typical,Номер CAS,,нет
Противоизносная_присадка_28,typical,Номер CAS,,нет
Противоизносная_присадка_17,typical,Номер CAS,,нет
Противоизносная_присадка_18,typical,Номер CAS,,нет
Противоизносная_присадка_27,typical,Номер CAS,,нет
Противоизносная_присадка_26,typical,Номер CAS,,нет
Противоизносная_присадка_25,typical,Номер CAS,,нет
Противоизносная_присадка_29,typical,Номер CAS,,84605-29-8
Противоизносная_присадка_22,typical,Номер CAS,,68442-22-8
Противоизносная_присадка_8,typical,Тип спиртового радикала,,Первичный
Противоизносная_присадка_10,typical,Тип спиртового радикала,,Смешанный
Противоизносная_присадка_2,typical,Тип спиртового радикала,,Первичный
Противоизносная_присадка_24,typical,Тип спиртового радикала,,Первичный
Противоизносная_присадка_21,typical,Тип спиртового радикала,,Первичный
Противоизносная_присадка_1,typical,Тип спиртового радикала,,Вторичный
Противоизносная_присадка_20,typical,Тип спиртового радикала,,Вторичный
Противоизносная_присадка_5,typical,Тип спиртового радикала,,Смешанный
Противоизносная_присадка_11,typical,Тип спиртового радикала,,Вторичный
Противоизносная_присадка_28,typical,Тип спиртового радикала,,Вторичный
Противоизносная_присадка_17,typical,Тип спиртового радикала,,Вторичный
Противоизносная_присадка_18,typical,Тип спиртового радикала,,Первичный
Противоизносная_присадка_27,typical,Тип спиртового радикала,,Вторичный
Противоизносная_присадка_26,typical,Тип спиртового радикала,,Вторичный
Противоизносная_присадка_25,typical,Тип спиртового радикала,,Вторичный
Противоизносная_присадка_29,typical,Тип спиртового радикала,,Вторичный
Противоизносная_присадка_22,typical,Тип спиртового радикала,,Первичный
Противоизносная_присадка_8,typical,"Массовая доля цинка, ASTM D6481",% масс,7.35
Противоизносная_присадка_2,typical,"Массовая доля цинка, ASTM D6481",% масс,9.0
Противоизносная_присадка_1,typical,"Массовая доля цинка, ASTM D6481",% масс,9.05
Противоизносная_присадка_11,typical,"Массовая доля цинка, ASTM D6481",% масс,9.05
Противоизносная_присадка_17,typical,"Массовая доля цинка, ASTM D6481",% масс,9.0
Противоизносная_присадка_18,typical,"Массовая доля цинка, ASTM D6481",% масс,9.7
Противоизносная_присадка_27,typical,"Массовая доля цинка, ASTM D6481",% масс,9.0
Противоизносная_присадка_22,typical,"Массовая доля цинка, ASTM D6481",% масс,9.6
Противоизносная_присадка_8,typical,"Массовая доля фосфора, ASTM D6481",% масс,7.37
Противоизносная_присадка_2,typical,"Массовая доля фосфора, ASTM D6481",% масс,7.8
Противоизносная_присадка_1,typical,"Массовая доля фосфора, ASTM D6481",% масс,8.28
Противоизносная_присадка_11,typical,"Массовая доля фосфора, ASTM D6481",% масс,8.28
Противоизносная_присадка_17,typical,"Массовая доля фосфора, ASTM D6481",% масс,8.3
Противоизносная_присадка_18,typical,"Массовая доля фосфора, ASTM D6481",% масс,8.09
Противоизносная_присадка_27,typical,"Массовая доля фосфора, ASTM D6481",% масс,8.3
Противоизносная_присадка_22,typical,"Массовая доля фосфора, ASTM D6481",% масс,9.5
Противоизносная_присадка_8,typical,"Массовая доля серы, ASTM D6481",% масс,15.0
Противоизносная_присадка_10,typical,"Массовая доля серы, ASTM D6481",% масс,17.8
Противоизносная_присадка_2,typical,"Массовая доля серы, ASTM D6481",% масс,15.0
Противоизносная_присадка_1,typical,"Массовая доля серы, ASTM D6481",% масс,17.6
Противоизносная_присадка_11,typical,"Массовая доля серы, ASTM D6481",% масс,17.6
Противоизносная_присадка_17,typical,"Массовая доля серы, ASTM D6481",% масс,17.6
Противоизносная_присадка_18,typical,"Массовая доля серы, ASTM D6481",% масс,17.68
Противоизносная_присадка_27,typical,"Массовая доля серы, ASTM D6481",% масс,17.6
Противоизносная_присадка_22,typical,"Массовая доля серы, ASTM D6481",% масс,19.0
Противоизносная_присадка_2,typical,"Содержание других элементов (например, бора)",,"0,05 (B)"
Противоизносная_присадка_8,typical,Атомное отношение P:Zn,,1.0
Противоизносная_присадка_10,typical,Атомное отношение P:Zn,,0.85
Противоизносная_присадка_2,typical,Атомное отношение P:Zn,,0.87
Противоизносная_присадка_24,typical,Атомное отношение P:Zn,,0.87
Противоизносная_присадка_21,typical,Атомное отношение P:Zn,,0.83
Противоизносная_присадка_1,typical,Атомное отношение P:Zn,,0.91
Противоизносная_присадка_20,typical,Атомное отношение P:Zn,,0.91
Противоизносная_присадка_5,typical,Атомное отношение P:Zn,,0.88
Противоизносная_присадка_11,typical,Атомное отношение P:Zn,,0.91
Противоизносная_присадка_28,typical,Атомное отношение P:Zn,,0.8
Противоизносная_присадка_17,typical,Атомное отношение P:Zn,,0.92
Противоизносная_присадка_18,typical,Атомное отношение P:Zn,,0.83
Противоизносная_присадка_27,typical,Атомное отношение P:Zn,,0.92
Противоизносная_присадка_26,typical,Атомное отношение P:Zn,,0.92
Противоизносная_присадка_25,typical,Атомное отношение P:Zn,,0.95
Противоизносная_присадка_29,typical,Атомное отношение P:Zn,,0.9473684211
Противоизносная_присадка_22,typical,Атомное отношение P:Zn,,0.99
Противоизносная_присадка_8,typical,"Щелочное число, ASTM D2896",мг KOH/г,19.7
Противоизносная_присадка_10,typical,"Щелочное число, ASTM D2896",мг KOH/г,18.7
Противоизносная_присадка_2,typical,"Щелочное число, ASTM D2896",мг KOH/г,10
Противоизносная_присадка_21,typical,"Щелочное число, ASTM D2896",мг KOH/г,20.4
Противоизносная_присадка_18,typical,"Щелочное число, ASTM D2896",мг KOH/г,20.4
Противоизносная_присадка_8,typical,Длина углеродной цепи,,20
Противоизносная_присадка_10,typical,Длина углеродной цепи,,14.8
Противоизносная_присадка_2,typical,Длина углеродной цепи,,20
Противоизносная_присадка_5,typical,Длина углеродной цепи,,24.8
Противоизносная_присадка_17,typical,Длина углеродной цепи,,6
Противоизносная_присадка_27,typical,Длина углеродной цепи,,6
Противоизносная_присадка_8,typical,Разветвленность радикала / радикалов,,"изобутил - 75%, 2-этилгексил - 25%"
Противоизносная_присадка_10,typical,Разветвленность радикала / радикалов,,"н-бутил - 70%, изопропил - 30%"
Противоизносная_присадка_2,typical,Разветвленность радикала / радикалов,,"изобутил - 75%, 2-этилгексил - 25%"
Противоизносная_присадка_24,typical,Разветвленность радикала / радикалов,,Бутилооктиловый эфир
Противоизносная_присадка_21,typical,Разветвленность радикала / радикалов,,Бутилоизопропиловый эфир
Противоизносная_присадка_1,typical,Разветвленность радикала / радикалов,,метилизобутилкарбинол
Противоизносная_присадка_20,typical,Разветвленность радикала / радикалов,,i-C6/i-C3
Противоизносная_присадка_5,typical,Разветвленность радикала / радикалов,,"2-этилгексил (60%), изобутил (20%), изопропил (20%)"
Противоизносная_присадка_11,typical,Разветвленность радикала / радикалов,,метилизобутилкарбинол
Противоизносная_присадка_28,typical,Разветвленность радикала / радикалов,,метилизобутилкарбинол
Противоизносная_присадка_17,typical,Разветвленность радикала / радикалов,,"1,3-диметилбутил (100%)"
Противоизносная_присадка_18,typical,Разветвленность радикала / радикалов,,Бутилоизопропиловый эфир
Противоизносная_присадка_27,typical,Разветвленность радикала / радикалов,,"1,3-диметилбутил (100%)"
Противоизносная_присадка_26,typical,Разветвленность радикала / радикалов,,метилизобутилкарбинол
Противоизносная_присадка_25,typical,Разветвленность радикала / радикалов,,метилизобутилкарбинол
Противоизносная_присадка_29,typical,Разветвленность радикала / радикалов,,i-C3 / i-C6
Противоизносная_присадка_22,typical,Разветвленность радикала / радикалов,,"изобутил, 2-этилгексил"
Дисперсант_1,typical,Класс полиамина,,TEPA
Дисперсант_5,typical,Класс полиамина,,TEPA
Дисперсант_7,typical,Класс полиамина,,TEPA
Дисперсант_3,typical,Класс полиамина,,TEPA
Дисперсант_2,typical,Класс полиамина,,TEPA
Дисперсант_6,typical,Класс полиамина,,TEPA
Дисперсант_9,typical,Класс полиамина,,TEPA
Дисперсант_4,typical,Класс полиамина,,TEPA
Дисперсант_10,typical,Класс полиамина,,TEPA
Дисперсант_11,typical,Класс полиамина,,TEPA
Дисперсант_12,typical,Класс полиамина,,TEPA
Дисперсант_13,typical,Класс полиамина,,TEPA
Дисперсант_8,typical,Класс полиамина,,TEPA
Дисперсант_1,typical,Номер CAS,,67762-72-5
Дисперсант_5,typical,Номер CAS,,67762-72-5
Дисперсант_7,typical,Номер CAS,,84605-20-9
Дисперсант_3,typical,Номер CAS,,134758-95-5
Дисперсант_2,typical,Номер CAS,,84605-20-9
Дисперсант_6,typical,Номер CAS,,84605-20-9
Дисперсант_9,typical,Номер CAS,,84605-20-9
Дисперсант_4,typical,Номер CAS,,67762-72-5
Дисперсант_10,typical,Номер CAS,,134758-95-5
Дисперсант_11,typical,Номер CAS,,134758-95-5
Дисперсант_12,typical,Номер CAS,,134758-95-5
Дисперсант_13,typical,Номер CAS,,134758-95-5
Дисперсант_8,typical,Номер CAS,,84605-20-9
Дисперсант_1,typical,Модификация,,Неборированный
Дисперсант_5,typical,Модификация,,Неборированный
Дисперсант_7,typical,Модификация,,Неборированный
Дисперсант_3,typical,Модификация,,Борированный
Дисперсант_2,typical,Модификация,,Неборированный
Дисперсант_6,typical,Модификация,,Неборированный
Дисперсант_9,typical,Модификация,,Неборированный
Дисперсант_4,typical,Модификация,,Неборированный
Дисперсант_10,typical,Модификация,,Борированный
Дисперсант_11,typical,Модификация,,Борированный
Дисперсант_12,typical,Модификация,,Борированный
Дисперсант_13,typical,Модификация,,Борированный
Дисперсант_8,typical,Модификация,,Неборированный
Дисперсант_1,typical,Тип сукцинимида,,Моно
Дисперсант_5,typical,Тип сукцинимида,,Моно
Дисперсант_7,typical,Тип сукцинимида,,Бис
Дисперсант_3,typical,Тип сукцинимида,,Бис
Дисперсант_2,typical,Тип сукцинимида,,Моно
Дисперсант_6,typical,Тип сукцинимида,,Моно
Дисперсант_9,typical,Тип сукцинимида,,Моно
Дисперсант_4,typical,Тип сукцинимида,,Моно
Дисперсант_10,typical,Тип сукцинимида,,Бис
Дисперсант_11,typical,Тип сукцинимида,,Бис
Дисперсант_12,typical,Тип сукцинимида,,Бис
Дисперсант_13,typical,Тип сукцинимида,,Бис
Дисперсант_8,typical,Тип сукцинимида,,Моно
Дисперсант_1,typical,Содержание масла,,45.0
Дисперсант_5,typical,Содержание масла,,45.0
Дисперсант_7,typical,Содержание масла,,50.0
Дисперсант_3,typical,Содержание масла,,40.0
Дисперсант_2,typical,Содержание масла,,50.0
Дисперсант_6,typical,Содержание масла,,50.0
Дисперсант_9,typical,Содержание масла,,50.0
Дисперсант_4,typical,Содержание масла,,50.0
Дисперсант_10,typical,Содержание масла,,50.0
Дисперсант_11,typical,Содержание масла,,50.0
Дисперсант_12,typical,Содержание масла,,50.0
Дисперсант_13,typical,Содержание масла,,50.0
Дисперсант_1,typical,Содержание Азота,,2.1
Дисперсант_5,typical,Содержание Азота,,2.1
Дисперсант_7,typical,Содержание Азота,,1.29
Дисперсант_3,typical,Содержание Азота,,1.28
Дисперсант_2,typical,Содержание Азота,,1.1
Дисперсант_6,typical,Содержание Азота,,1.1
